ano;centroCusto;classeCusto;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12
2018;C0042BLAES;5200201001;2200,95;2021,31;1960,79;2100,96;2032,72;2037,58;2008,67;2009,2;833,03;2500,32;2426,13;2262,65
2018;C0042BLAES;5200201002;1383,92;246,24;259,21;400,04;355,61;341,67;603,15;425,21;670,74;830,62;315,12;877,2
2018;C0042BLAES;5200202002;1200;500;250;750;500;500;500;500;0;0;0;0
2018;C0042BLAES;5200203001;531,63;307,52;274,44;361,13;320,92;319,95;345,77;326,01;2107,74;370,07;312,8;664,22
2018;C0042BLAES;5200203002;187,66;108,56;96,88;127,48;113,28;112,94;122,06;115,08;-838,92;130,64;110,42;-328,45
2018;C0042BLAES;5200204001;398,72;230,64;205,83;270,85;240,69;239,96;259,33;244,51;739,64;277,55;-1015,4;1631,35
2018;C0042BLAES;5200204002;140,74;81,41;72,66;95,61;84,96;84,71;91,55;86,31;261,09;97,97;82,82;-881,94
2018;C0042BLAES;5200205001;1306,22;755,57;674,31;887,31;788,5;786,07;849,57;800,99;1195,92;909,26;748,36;2158,26
2018;C0042BLAES;5200205002;382,77;221,41;197,6;260,02;231,06;230,35;248,96;234,72;120,32;266,44;219,3;228,56
2018;C0042BLAES;5200208001;698,32;740,52;697,72;740,52;684,27;740,52;726,32;718,52;740,52;740,52;740,52;828,88
2018;C0042BLAES;5200208003;8;8;8;8;8;8;8;8;8;8;8;8
2018;C0042BLAES;5200208004;517,28;423,23;493,77;423,23;423,23;493,77;517,28;540,79;112,57;540,3;495,28;337,69
2018;C0042BLAES;5200208005;66;66;66;66;66;66;66;66;66;66;82;58,33
2018;C0042BLAES;5200208009;253,67;204,07;241,27;218,47;218,47;244,87;271,27;287,77;57,67;318,2;265,4;177,28
2018;C0042BLAES;5200410004;0;0;1345,5;0;0;0;0;0;0;0;0;0
2018;C0042BLAES;5200501001;13268,23;0;0;0;0;0;0;0;0;0;0;0
2018;C0042BLAES;5200501002;1800;1800;0;0;0;0;0;0;0;0;0;0
2018;C0042BLAES;5200501003;0;0;0;0;0;0;0;1005;3600;0;0;0
2018;C0042BLAES;5200502001;5441,97;5423,26;5177,37;4837,71;4835,97;4486,05;4205,36;4933,5;5501,84;6356,22;6014,12;6325,79
2018;C0042BLAES;5200502003;7172,57;14271,41;10640,83;7063,38;7015,61;7063,27;6614,61;7471,1;3160,5;7494,87;7612,77;16975,78
2018;C0042BLAES;5200502007;0;0;2845;0;996,33;0;0;0;0;325,1;0;0
2018;C0042BLAES;5200503002;0;0;0;0;0;0;0;0;1047,62;0;0;0
2018;C0042BLAES;5200503004;0;0;144;102;593;1705;3003;192;276;1518,9;968;-24
2018;C0042BLAES;5200503005;0;1554,74;0;1386,66;848,58;0;0;0;0;0;0;180
2018;C0042BLAES;5200503006;0;0;0;0;19320;2520;560;0;0;0;0;0
2018;C0042BLAES;5200503008;1871,86;3348;0;1674;1674;3348;0;1674;1674;1674;2546,59;1674
2018;C0042BLAES;5200503009;0;0;0;0;110;0;0;0;0;0;0;0
2018;C0042BLAES;5200503011;0;0;0;0;0;2779,1;0;0;0;0;0;0
2018;C0042BLAES;5200504002;857,52;857,52;857,52;3500;857,52;3740;0;11117,52;3500;3500;11287,6;857,52
2018;C0042BLAES;5200504008;4230,12;3729,15;4189,31;5542,63;3230,04;3603,85;2391,33;3958,56;3478,8;3485,01;4087,3;3609,28
2018;C0042BLAES;5200504010;1794,56;1794,56;3024,56;744,56;744,56;0;1324,56;744,56;1779,12;744,56;744,56;2743,56
2018;C0042BLAES;5200504012;0;0;0;0;0;0;0;0;0;0;0;718
2018;C0042BLAES;5200504019;2400;2700;2862,56;2696,16;2700;3300;3290;2700;2700;2700;2700;2700
2018;C0042BLAES;5200504025;18703,51;16738,77;14891,42;19771,05;18032,82;16457,66;18131,79;15377,9;14439,66;13997,97;13889,76;29904,84
2018;C0042BLAES;5200505002;0;0;0;678,34;0;0;0;0;0;0;0;0
2018;C0042BLAES;5300202002;132,98;0;0;0;0;0;0;0;0;0;0;0
2018;C0042BLCOB;5200201001;14688,88;7993,68;7993,98;5479,17;7994,43;7993,21;7994,68;7993,57;9569,13;8793;8793,08;10697,1
2018;C0042BLCOB;5200202002;0;0;0;600;0;0;0;0;0;0;0;0
2018;C0042BLCOB;5200203001;1276,26;888,2;888,21;971,52;888,2;888,2;888,21;888,2;2309,15;977,02;977;1647,14
2018;C0042BLCOB;5200203002;560,9;237,49;309,1;-1850,45;309,1;309,09;309,1;309,1;803,58;340;340;573,2
2018;C0042BLCOB;5200204001;666,15;666,16;666,15;728,65;666,15;666,16;666,15;666,15;1265,61;732,76;-3663,79;5446,74
2018;C0042BLCOB;5200204002;235,14;228,49;231,82;253,57;231,83;231,82;231,82;231,82;440,43;255;255;-2092,91
2018;C0042BLCOB;5200205001;4386,76;2142,36;2142,36;2403,74;2142,36;2142,36;2142,36;2142,36;2564,52;2356,56;2356,56;5240,08
2018;C0042BLCOB;5200205002;1175,11;639,5;639,5;486,33;639,5;639,5;639,5;639,5;765,52;703,44;703,44;728,84
2018;C0042BLCOB;5200208001;164,91;189,96;189,96;113,57;189,96;188,68;189,96;140,22;190,86;143,34;190,86;229,61
2018;C0042BLCOB;5200208003;23,59;23,59;23,59;23,59;14,9;14,9;14,9;14,9;16,39;16,39;16,39;16,98
